nom,lemme
a,avoir
à,à
à_brûle_pourpoint,à_brûle_pourpoint
a_capella,a_capella
a_cappella,a_cappella
à_cloche_pied,à_cloche_pied
a_contrario,a_contrario
à_côté,à_côté
à_coup,à_coup
à_cropetons,à_cropetons
à_croupetons,à_croupetons
à_dieu_vat,à_dieu_vat
a_fortiori,a_fortiori
à_fortiori,à_fortiori
a_giorno,a_giorno
à_giorno,à_giorno
à_glagla,à_glagla
à_jeun,à_jeun
à_l_aveuglette,à_l_aveuglette
à_l_encan,à_l_encan
à_l_encontre,à_l_encontre
à_l_envi,à_l_envi
à_l_improviste,à_l_improviste
a_l_instar,a_l_instar
à_l_instar,à_l_instar
à_la_daumont,à_la_daumont
à_la_saint_glinglin,à_la_saint_glinglin
à_leur_encontre,à_leur_encontre
à_lurelure,à_lurelure
à_mon_encontre,à_mon_encontre
à_notre_encontre,à_notre_encontre
à_peu_près,à_peu_près
à_pic,à_pic
à_plat,à_plat
a_posteriori,a_posteriori
a_priori,a_priori
à_propos,à_propos
à_rebrousse_poil,à_rebrousse_poil
à_son_encontre,à_son_encontre
à_tâtons,à_tâtons
à_tire_larigot,à_tire_larigot
à_ton_encontre,à_ton_encontre
à_touche_touche,à_touche_touche
à_tue_tête,à_tue_tête
à_valoir,à_valoir
à_votre_encontre,à_votre_encontre
aa,aa
ab_absurdo,ab_absurdo
ab_initio,ab_initio
ab_ovo,ab_ovo
abaca,abaca
abaissa,abaisser
abaissai,abaisser
abaissaient,abaisser
abaissait,abaisser
abaissant,abaissant
abaissante,abaissant
abaisse,abaisser
abaissé,abaisser
abaisse_langue,abaisse_langue
abaissée,abaisser
abaissées,abaissé
abaissement,abaissement
abaissent,abaisser
abaisser,abaisser
abaissera,abaisser
abaisserai,abaisser
abaisseraient,abaisser
abaisserais,abaisser
abaisserait,abaisser
abaissèrent,abaisser
abaisses,abaisser
abaissés,abaisser
abaissez,abaisser
abaissons,abaisser
abalone,abalone
abalones,abalone
abandon,abandon
abandonna,abandonner
abandonnai,abandonner
abandonnaient,abandonner
abandonnais,abandonner
abandonnait,abandonner
abandonnâmes,abandonner
abandonnant,abandonner
abandonnas,abandonner
abandonnât,abandonner
abandonne,abandonner
abandonné,abandonner
abandonnée,abandonner
abandonnées,abandonner
abandonnent,abandonner
abandonner,abandonner
abandonnera,abandonner
abandonnerai,abandonner
abandonneraient,abandonner
abandonnerais,abandonner
abandonnerait,abandonner
abandonneras,abandonner
abandonnèrent,abandonner
abandonnerez,abandonner
abandonneriez,abandonner
abandonnerions,abandonner
abandonnerons,abandonner
abandonneront,abandonner
abandonnes,abandonner
abandonnés,abandonner
abandonneurs,abandonneur
abandonnez,abandonner
abandonniez,abandonner
abandonnions,abandonner
abandonnique,abandonnique
abandonnons,abandonner
abandons,abandon
abaque,abaque
abasourdi,abasourdir
abasourdie,abasourdi
abasourdir,abasourdir
abasourdis,abasourdir
abasourdissant,abasourdissant
abasourdissants,abasourdissant
abat,abattre
abat_jour,abat_jour
abat_son,abat_son
abatage,abatage
abâtardi,abâtardir
abâtardie,abâtardi
abâtardies,abâtardir
abâtardir,abâtardir
abâtardirai,abâtardir
abâtardissant,abâtardir
abatis,abatis
abats,abattre
abattage,abattage
abattages,abattage
abattaient,abattre
abattais,abattre
abattait,abattre
abattant,abattre
abattants,abattant
abatte,abattre
abattement,abattement
abattements,abattement
abattent,abattre
abattes,abattre
abatteur,abatteur
abatteurs,abatteur
abattez,abattre
abattiez,abattre
abattions,abattre
abattirent,abattre
abattis,abattis
abattit,abattre
abattoir,abattoir
abattoirs,abattoir
abattons,abattre
abattra,abattre
abattrai,abattre
abattraient,abattre
abattrais,abattre
abattrait,abattre
abattras,abattre
abattre,abattre
abattrez,abattre
abattriez,abattre
abattrons,abattre
abattront,abattre
abattu,abattre
abattue,abattre
abattues,abattre
abattures,abatture
abattus,abattre
abbatial,abbatial
abbatiale,abbatial
abbatiales,abbatial
abbaye,abbaye
abbayes,abbaye
abbé,abbé
abbés,abbé
abbesse,abbé
abbesses,abbé
abc,abc
abcès,abcès
abdication,abdication
abdications,abdication
abdiqua,abdiquer
abdiquai,abdiquer
abdiquaient,abdiquer
abdiquais,abdiquer
abdiquait,abdiquer
abdiquant,abdiquer
abdique,abdiquer
abdiqué,abdiquer
abdiquée,abdiquer
abdiquer,abdiquer
abdiquera,abdiquer
abdiquerais,abdiquer
abdiquerait,abdiquer
abdiquez,abdiquer
abdomen,abdomen
abdominal,abdominal
abdominale,abdominal
abdominales,abdominal
abdominaux,abdominal
abdos,abdos
abducteur,abducteur
abduction,abduction
abécédaire,abécédaire
abeille,abeille
abeilles,abeille
aber,aber
aberrant,aberrant
aberrante,aberrant
aberrantes,aberrant
aberrants,aberrant
aberration,aberration
aberrations,aberration
abêti,abêtir
abêties,abêti
abêtir,abêtir
abêtis,abêtir
abêtissait,abêtir
abêtissement,abêtissement
abêtit,abêtir
abhorrais,abhorrer
abhorrait,abhorrer
abhorrant,abhorrer
abhorre,abhorrer
abhorré,abhorrer
abhorrée,abhorré
abhorrer,abhorrer
abhorrés,abhorrer
abhorrez,abhorrer
abîma,abîmer
abîmai,abîmer
abîmaient,abîmer
abîmait,abîmer
abîmant,abîmer
abîme,abîme
abîmé,abîmer
abîmée,abîmer
abîmées,abîmer
abîment,abîmer
abîmer,abîmer
abîmera,abîmer
abîmerai,abîmer
abîmerais,abîmer
abîmerait,abîmer
abîmeras,abîmer
abîmerez,abîmer
abîmeront,abîmer
abîmes,abîme
abîmés,abîmer
abîmez,abîmer
abîmions,abîmer
abîmons,abîmer
abject,abject
abjecte,abject
abjectement,abjectement
abjectes,abject
abjection,abjection
abjections,abjection
abjects,abject
abjurant,abjurer
abjuration,abjuration
abjurations,abjuration
abjure,abjurer
abjuré,abjurer
abjurer,abjurer
abjurez,abjurer
abjurons,abjurer
abkhaze,abkhaze
ablatif,ablatif
ablation,ablation
ablations,ablation
able,able
ablette,ablette
ablettes,ablette
ablution,ablution
